http://www.datasciencecentral.com/profiles/blogs/check-out-our-dsc-newsletter:like 18,view 208817, facebook 0
http://www.datasciencecentral.com/profiles/blogs/7-traits-a-big-data-scientist-shouldn-t-have:like 1,view 1279, facebook 0
http://www.datasciencecentral.com/profiles/blogs/10-great-books-about-r-1:like 0,view 1442, facebook 0
http://www.datasciencecentral.com/profiles/blogs/manage-the-surge-in-unstructured-data:like 0,view 0, facebook 0
http://www.datasciencecentral.com/profiles/blogs/healthcare-and-consumer-electronics-industries-to-drive-next:like 0,view 49, facebook 0
http://www.datasciencecentral.com/profiles/blogs/all-about-analytics-the-best-example-for-web-business-big-data-1:like 0,view 66, facebook 0
http://www.datasciencecentral.com/profiles/blogs/what-do-data-scientists-do-exactly:like 0,view 126, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-need-for-speed-in-memory-and-the-marriage-of-rdbms-and-nosql:like 1,view 254, facebook 0
http://www.datasciencecentral.com/profiles/blogs/semantics-approach-to-big-data-and-event-processing-full-content:like 0,view 125, facebook 0
http://www.datasciencecentral.com/profiles/blogs/introduction-to-data-lineage:like 0,view 84, facebook 0
http://www.datasciencecentral.com/profiles/blogs/hadoop-market-to-grow-at-54-7-cagr-due-to-increasing-demand-for:like 1,view 57, facebook 0
http://www.datasciencecentral.com/profiles/blogs/17-r-and-data-science-interview-q-a-you-have-to-know:like 2,view 167, facebook 0
http://www.datasciencecentral.com/profiles/blogs/python-for-data-science-vs-python-for-web-development:like 4,view 3208, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-november-9:like 0,view 123, facebook 0
http://www.datasciencecentral.com/profiles/blogs/video-aster-on-hadoop-introduction-and-demo:like 0,view 34, facebook 0
http://www.datasciencecentral.com/profiles/blogs/sharing-data-to-form-alliances:like 1,view 208, facebook 0
http://www.datasciencecentral.com/profiles/blogs/datapalooza-compose-your-data-science-music:like 2,view 394, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-beautiful-duality-of-tda-topological-data-analysis:like 1,view 878, facebook 0
http://www.datasciencecentral.com/profiles/blogs/want-to-have-your-own-personal-watson-ibm-has-an-api-for-you:like 1,view 366, facebook 0
http://www.datasciencecentral.com/profiles/blogs/anatomy-of-data-analytics-part-i:like 4,view 757, facebook 0
http://www.datasciencecentral.com/profiles/blogs/hadoop-what-s-on-the-horizon:like 0,view 128, facebook 0
http://www.datasciencecentral.com/profiles/blogs/natural-gas-storage-optimization-1:like 1,view 235, facebook 0
http://www.datasciencecentral.com/profiles/blogs/a-tour-of-machine-learning-algorithms-1:like 14,view 23866, facebook 0
http://www.datasciencecentral.com/profiles/blogs/10-real-data-scientist-interview-questions:like 16,view 15873, facebook 0
http://www.datasciencecentral.com/profiles/blogs/an-introduction-to-machine-learning-theory-and-its-applications-a:like 7,view 6062, facebook 0
http://www.datasciencecentral.com/profiles/blogs/27-free-data-mining-books:like 19,view 44427, facebook 0
http://www.datasciencecentral.com/profiles/blogs/20-excel-tricks:like 4,view 15806, facebook 0
http://www.datasciencecentral.com/profiles/blogs/treat-your-data-like-an-asset-not-an-inconvenience:like 0,view 531, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-benefits-of-media-marketing-for-healthcare-professionals:like 0,view 170, facebook 0
http://www.datasciencecentral.com/profiles/blogs/fraud-detection-using-deep-learning-ml-techniques-at-paypal:like 0,view 577, facebook 0
http://www.datasciencecentral.com/profiles/blogs/6-reasons-to-replace-your-spreadsheet-driven-reporting:like 4,view 1232, facebook 0
http://www.datasciencecentral.com/profiles/blogs/a-few-announcements:like 0,view 115, facebook 0
http://www.datasciencecentral.com/profiles/blogs/great-sensor-datasets-to-prepare-your-next-career-move-in-iot-int:like 2,view 1760, facebook 0
http://www.datasciencecentral.com/profiles/blogs/time-series-forecasting-and-internet-of-things-iot-in-grain:like 0,view 1070, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-to-write-your-data-science-cv:like 5,view 1369, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-science-and-technology-monthly-october-2015:like 3,view 409, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-cloud-computing-trends-which-will-dictate-the-market-in-near:like 2,view 296, facebook 0
http://www.datasciencecentral.com/profiles/blogs/3-essential-sql-queries-in-1-5-minutes:like 1,view 695, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-uber-uses-spark:like 0,view 670, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-ghost-response:like 0,view 69, facebook 0
http://www.datasciencecentral.com/profiles/blogs/marketing-measurement-analytics-is-changing-the-mix:like 4,view 522, facebook 0
http://www.datasciencecentral.com/profiles/blogs/handbook-of-research-on-ubiquitous-machine-learning-and-its:like 0,view 301, facebook 0
http://www.datasciencecentral.com/profiles/blogs/great-friday-reading:like 0,view 267, facebook 0
http://www.datasciencecentral.com/profiles/blogs/stream-processing-what-is-it-and-who-needs-it:like 6,view 2794, facebook 0
http://www.datasciencecentral.com/profiles/blogs/5-warning-signs-that-turn-off-data-science-hiring-managers:like 6,view 2594, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-to-defeat-pos-malware:like 0,view 159, facebook 0
http://www.datasciencecentral.com/profiles/blogs/top-machine-learning-employers:like 2,view 1305, facebook 0
http://www.datasciencecentral.com/profiles/blogs/top-five-defining-characteristics-of-great-cloud-computing:like 1,view 201, facebook 0
http://www.datasciencecentral.com/profiles/blogs/musical-taste-correlates-with-sat-scores:like 2,view 1612, facebook 0
http://www.datasciencecentral.com/profiles/blogs/repost-leaders-wanted-in-data-science-community-of-dallas:like 0,view 48, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-science-applications-in-semiconductor-manufacturing:like 0,view 211, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-to-use-multivariate-time-series-techniques-for-capacity:like 0,view 1097, facebook 0
http://www.datasciencecentral.com/profiles/blogs/using-data-science-to-combat-watering-hole-security-attacks:like 0,view 218, facebook 0
http://www.datasciencecentral.com/profiles/blogs/13-machine-learning-data-set-collections:like 5,view 3528, facebook 0
http://www.datasciencecentral.com/profiles/blogs/a-map-to-perfection-using-d3-js-to-make-beautiful-web-maps:like 2,view 1682, facebook 0
http://www.datasciencecentral.com/profiles/blogs/four-similarities-between-triathlons-and-big-data-analytics:like 2,view 198, facebook 0
http://www.datasciencecentral.com/profiles/blogs/comparing-data-science-and-analytics:like 4,view 2087, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-science-test-how-do-you-rank:like 0,view 2964, facebook 0
http://www.datasciencecentral.com/profiles/blogs/50-years-of-data-science-by-dave-donoho:like 2,view 216, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-october-26:like 0,view 466, facebook 0
http://www.datasciencecentral.com/profiles/blogs/predictive-analytics-glossary:like 0,view 587, facebook 0
http://www.datasciencecentral.com/profiles/blogs/twitter-as-a-platform-for-open-real-time-analytics:like 1,view 976, facebook 0
http://www.datasciencecentral.com/profiles/blogs/digital-watch-ig-barometer-a-text-mining-approach-to-internet:like 1,view 376, facebook 0
http://www.datasciencecentral.com/profiles/blogs/collaborative-filtering-tutorials-across-languages:like 0,view 567, facebook 0
http://www.datasciencecentral.com/profiles/blogs/outsourcing-data-analytics:like 1,view 1103, facebook 0
http://www.datasciencecentral.com/profiles/blogs/podcasts-for-data-scientists:like 0,view 580, facebook 0
http://www.datasciencecentral.com/profiles/blogs/measuring-cloud-oktas-from-outer-space:like 1,view 87, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-big-data-glossary-part-1:like 0,view 189, facebook 0
http://www.datasciencecentral.com/profiles/blogs/20-quotes-from-a-data-science-pioneer:like 2,view 2708, facebook 0
http://www.datasciencecentral.com/profiles/blogs/a-breif-introduction-to-data-mining:like 3,view 1237, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-as-a-service-dictionary-5-terms-you-need-to-know:like 0,view 693, facebook 0
http://www.datasciencecentral.com/profiles/blogs/what-phds-do-wrong-and-right-when-applying-for-data-science-jobs:like 5,view 3662, facebook 0
http://www.datasciencecentral.com/profiles/blogs/aster-on-hadoop-is-hadoop-for-everyone:like 1,view 256, facebook 0
http://www.datasciencecentral.com/profiles/blogs/collection-of-svm-libraries-by-language:like 0,view 590, facebook 0
http://www.datasciencecentral.com/profiles/blogs/zipf-s-distribution-example-of-a-great-application:like 0,view 832, facebook 0
http://www.datasciencecentral.com/profiles/blogs/why-zipf-s-law-explains-so-many-big-data-and-physics-phenomenons:like 1,view 8737, facebook 0
http://www.datasciencecentral.com/profiles/blogs/big-data-20-mind-boggling-facts-everyone-must-read:like 0,view 3804, facebook 0
http://www.datasciencecentral.com/profiles/blogs/forget-data-scientists-make-everyone-data-savvy:like 4,view 3378, facebook 0
http://www.datasciencecentral.com/profiles/blogs/social-determinants-of-disease:like 0,view 206, facebook 0
http://www.datasciencecentral.com/profiles/blogs/hadoop-summit-notes-part1-vision:like 0,view 187, facebook 0
http://www.datasciencecentral.com/profiles/blogs/3-questions-you-need-to-answer-before-going-for-big-data:like 0,view 390, facebook 0
http://www.datasciencecentral.com/profiles/blogs/why-data-scientists-need-to-be-good-data-storytellers:like 15,view 5578, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-eleven-tech-companies-built-their-big-data-stacks:like 0,view 2626, facebook 0
http://www.datasciencecentral.com/profiles/blogs/gartner-magic-quadrant-for-operational-dbms:like 1,view 456, facebook 0
http://www.datasciencecentral.com/profiles/blogs/ward-s-method-for-clustering-in-sas:like 0,view 209, facebook 0
http://www.datasciencecentral.com/profiles/blogs/8-free-popular-javascript-charting-libraries:like 3,view 867, facebook 0
http://www.datasciencecentral.com/profiles/blogs/agile-testing-practices-for-bpm-system-implementation:like 1,view 134, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-science-and-eu-privacy-regulations-a-storm-on-the-horizon-1:like 1,view 342, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-science-and-eu-privacy-regulations-a-storm-on-the-horizon:like 1,view 787, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-october-19:like 0,view 654, facebook 0
http://www.datasciencecentral.com/profiles/blogs/creating-a-graph-application-with-python-neo4j-gephi-and-linkurio:like 0,view 1943, facebook 0
http://www.datasciencecentral.com/profiles/blogs/introduction-to-apache-spark:like 1,view 617, facebook 0
http://www.datasciencecentral.com/profiles/blogs/debunking-the-myth-of-data-monetization:like 0,view 348, facebook 0
http://www.datasciencecentral.com/profiles/blogs/creating-value-for-business-2-data-science-questions-you-must-ask:like 2,view 411, facebook 0
http://www.datasciencecentral.com/profiles/blogs/two-obstacles-facing-retailers-for-data-driven-marketing-success:like 0,view 535, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-age-of-data-innocence-is-over:like 0,view 343, facebook 0
http://www.datasciencecentral.com/profiles/blogs/david-donoho-reflects-on-50-years-of-data-science:like 1,view 1256, facebook 0
http://www.datasciencecentral.com/profiles/blogs/o-reilly-2015-salary-survey-for-data-scientists:like 2,view 2547, facebook 0
http://www.datasciencecentral.com/profiles/blogs/comparing-linear-regression-with-the-jackknife-method:like 1,view 4321, facebook 0
http://www.datasciencecentral.com/profiles/blogs/a-step-by-step-plan-for-getting-your-company-started-with:like 5,view 2981, facebook 0
http://www.datasciencecentral.com/profiles/blogs/a-step-by-step-plan-for-getting-your-company-started-with-predict:like 10,view 3016, facebook 0
http://www.datasciencecentral.com/profiles/blogs/a-statistician-s-big-tent-view-on-big-data-and-data-science-v9:like 0,view 11, facebook 0
http://www.datasciencecentral.com/profiles/blogs/analytics-divide-and-big-data:like 0,view 357, facebook 0
http://www.datasciencecentral.com/profiles/blogs/what-constitutes-a-big-data-scenario-part-2-human-vs-machine:like 0,view 311, facebook 0
http://www.datasciencecentral.com/profiles/blogs/a-to-z-list-of-google-acquisitions-and-where-they-ended-up-within:like 4,view 4533, facebook 0
http://www.datasciencecentral.com/profiles/blogs/big-data-in-banking:like 1,view 546, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-science-learning-resources:like 3,view 2266, facebook 0
http://www.datasciencecentral.com/profiles/blogs/best-machine-learning-data-science-and-r-cheat-sheets:like 2,view 3973, facebook 0
http://www.datasciencecentral.com/profiles/blogs/100-blogs-on-analytics-big-data-data-science-and-machine-learning:like 8,view 3485, facebook 0
http://www.datasciencecentral.com/profiles/blogs/top-2-500-data-science-big-data-and-analytics-websites:like 5,view 6840, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-proc-sql-and-sas-macro-programming-made-my-statistical:like 0,view 119, facebook 0
http://www.datasciencecentral.com/profiles/blogs/from-survey-to-database:like 0,view 190, facebook 0
http://www.datasciencecentral.com/profiles/blogs/great-data-science-bloggers-worth-following:like 4,view 3774, facebook 0
http://www.datasciencecentral.com/profiles/blogs/10-reasons-why-big-data-analytics-is-the-best-career-move:like 5,view 3013, facebook 0
http://www.datasciencecentral.com/profiles/blogs/dangers-of-using-rmse-netflix-case-study:like 3,view 1357, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-semantics-is-creating-a-better-internet:like 1,view 287, facebook 0
http://www.datasciencecentral.com/profiles/blogs/navigating-into-the-world-of-analytics-5-critical-points:like 1,view 388, facebook 0
http://www.datasciencecentral.com/profiles/blogs/9-steps-to-become-a-data-scientist-from-scratch:like 10,view 15550, facebook 0
http://www.datasciencecentral.com/profiles/blogs/is-game-theory-important-for-data-scientists:like 3,view 1147, facebook 0
http://www.datasciencecentral.com/profiles/blogs/bank-ing-on-big-data:like 1,view 431, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-october-12:like 1,view 675, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-state-of-data-science-in-2015:like 3,view 979, facebook 0
http://www.datasciencecentral.com/profiles/blogs/can-business-automation-solve-your-data-quality-problems:like 0,view 344, facebook 0
http://www.datasciencecentral.com/profiles/blogs/5-unbelievable-ways-you-can-be-a-better-data-scientist-in:like 1,view 1667, facebook 0
http://www.datasciencecentral.com/profiles/blogs/water-management-analytics-insights-and-intelligence:like 2,view 552, facebook 0
http://www.datasciencecentral.com/profiles/blogs/5-tools-everyone-in-the-big-data-analytics-industry-should-be:like 2,view 1506, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-scientists-skills-mix-team-makeop:like 3,view 2515, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-scientist-core-skills:like 22,view 69919, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-5-essential-skills-any-data-scientist-needs:like 6,view 9412, facebook 0
http://www.datasciencecentral.com/profiles/blogs/can-you-make-data-sing-here-are-two-big-data-analytics-success:like 1,view 669, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-is-knowing-the-business-important-to-data-science:like 1,view 491, facebook 0
http://www.datasciencecentral.com/profiles/blogs/trick-or-treat:like 7,view 1870, facebook 0
http://www.datasciencecentral.com/profiles/blogs/16-reasons-data-scientists-are-difficult-to-manage:like 1,view 1297, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-to-become-a-data-scientist-on-a-shoestring:like 9,view 6774, facebook 0
http://www.datasciencecentral.com/profiles/blogs/top-10-commercial-hadoop-platforms:like 2,view 951, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-biggest-risks-of-big-data:like 0,view 1415, facebook 0
http://www.datasciencecentral.com/profiles/blogs/get-past-the-flash-and-into-the-data:like 0,view 311, facebook 0
http://www.datasciencecentral.com/profiles/blogs/in-defence-of-small-data:like 3,view 1726, facebook 0
http://www.datasciencecentral.com/profiles/blogs/national-institute-of-standards-and-technology-takes-on-the-inter:like 0,view 307, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-decision-frame:like 1,view 188, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-analysis-in-r:like 4,view 5594, facebook 0
http://www.datasciencecentral.com/profiles/blogs/an-introduction-to-elasticsearch:like 3,view 817, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-top-cloud-computing-vulnerabilities-and-threats:like 0,view 149, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-science-and-technology-monthly-september-2015:like 1,view 273, facebook 0
http://www.datasciencecentral.com/profiles/blogs/will-big-data-get-fans-off-the-couch-and-into-the-stadium:like 0,view 500, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-big-data-can-fuel-predictive-analytics-engine:like 0,view 125, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-to-monetize-my-data-part-1:like 2,view 859, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-scientists-must-prioritize-client-confidentiality:like 0,view 466, facebook 0
http://www.datasciencecentral.com/profiles/blogs/p-values-the-gold-standard-of-statistical-validity-are-not-as:like 3,view 5514, facebook 0
http://www.datasciencecentral.com/profiles/blogs/50-external-machine-learning-data-science-resources-and-articles:like 1,view 6143, facebook 0
http://www.datasciencecentral.com/profiles/blogs/5-of-the-most-viewed-scipy-and-numpy-questions-with-problems-on:like 0,view 886, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-september-28:like 0,view 1000, facebook 0
http://www.datasciencecentral.com/profiles/blogs/looking-back-on-a-decade-of-analytics:like 0,view 442, facebook 0
http://www.datasciencecentral.com/profiles/blogs/datakumbh-nasik-2015:like 1,view 202, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-to-forecast-time-series-data-with-multiple-seasonal-periods:like 1,view 2306, facebook 0
http://www.datasciencecentral.com/profiles/blogs/what-does-a-data-scientist-do-1:like 4,view 2707, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-scientists-skills-in-the-job-market:like 1,view 1679, facebook 0
http://www.datasciencecentral.com/profiles/blogs/knowing-your-zodiac-birth-sign-what-are-the-odds-of-you-becoming:like 2,view 1205, facebook 0
http://www.datasciencecentral.com/profiles/blogs/introduction-to-open-data:like 1,view 738, facebook 0
http://www.datasciencecentral.com/profiles/blogs/analytics-lessons-for-business-in-business-trends:like 1,view 688, facebook 0
http://www.datasciencecentral.com/profiles/blogs/a-new-wave-of-innovation-in-the-insurance-industry:like 0,view 426, facebook 0
http://www.datasciencecentral.com/profiles/blogs/making-order-out-of-chaos-that-is-the-magic-of-business-intellige:like 0,view 570, facebook 0
http://www.datasciencecentral.com/profiles/blogs/there-is-something-new-under-the-sun-uplift-modeling:like 4,view 1807, facebook 0
