http://www.bigdatanews.com/profiles/blogs/the-7-most-unusual-applications-of-big-data-you-ve-ever-seen:like 0,view 295, facebook 0
http://www.bigdatanews.com/profiles/blogs/top-hadoop-interview-questions:like 0,view 0, facebook 0
http://www.bigdatanews.com/profiles/blogs/big-data-hype-but-why-that-doesn-t-matter:like 0,view 226, facebook 0
http://www.bigdatanews.com/profiles/blogs/basic-recommendation-engine-using-r:like 0,view 1259, facebook 0
http://www.bigdatanews.com/profiles/blogs/how-big-data-drives-digital-marketing-success:like 1,view 683, facebook 0
http://www.bigdatanews.com/profiles/blogs/benjamin-graham-meets-advanced-analytics:like 0,view 330, facebook 0
http://www.bigdatanews.com/profiles/blogs/big-data-the-amazing-numbers-in-2015:like 0,view 835, facebook 0
http://www.bigdatanews.com/profiles/blogs/5-ways-big-data-is-making-a-splash-in-the-insurance-industry:like 0,view 760, facebook 0
http://www.bigdatanews.com/profiles/blogs/how-sports-teams-are-using-fan-data-to-increase-roi-even-in-the:like 0,view 483, facebook 0
http://www.bigdatanews.com/profiles/blogs/advanced-analytics-to-optimize-capital-deployed:like 0,view 374, facebook 0
http://www.bigdatanews.com/profiles/blogs/the-amazing-ways-uber-is-using-big-data:like 0,view 1604, facebook 0
http://www.bigdatanews.com/profiles/blogs/why-to-use-open-data-to-hone-the-machine-learning-models:like 0,view 437, facebook 0
http://www.bigdatanews.com/profiles/blogs/application-tiering-the-secret-of-a-winning-ilm-model:like 0,view 186, facebook 0
http://www.bigdatanews.com/profiles/blogs/9-must-have-skills-you-need-to-become-a-data-scientist:like 0,view 1704, facebook 0
http://www.bigdatanews.com/profiles/blogs/how-healthcare-organizations-are-applying-predictive-analytics:like 2,view 915, facebook 0
http://www.bigdatanews.com/profiles/blogs/step-by-step-guidelines-to-optimize-big-data-transfers:like 0,view 546, facebook 0
http://www.bigdatanews.com/profiles/blogs/marketers-using-big-data-to-target-in-market-consumers:like 0,view 667, facebook 0
http://www.bigdatanews.com/profiles/blogs/so-you-want-to-be-a-data-scientist:like 1,view 975, facebook 0
http://www.bigdatanews.com/profiles/blogs/evolving-storage-strategies-in-capital-markets:like 0,view 0, facebook 0
http://www.bigdatanews.com/profiles/blogs/performance-analytics-is-key-to-pads-framework:like 0,view 180, facebook 0
http://www.bigdatanews.com/profiles/blogs/the-surprising-things-you-don-t-know-about-big-data:like 1,view 2632, facebook 0
http://www.bigdatanews.com/profiles/blogs/42-big-data-startup:like 0,view 6835, facebook 0
http://www.bigdatanews.com/profiles/blogs/another-large-data-set-250-million-data-points-available-for-down:like 1,view 5138, facebook 0
http://www.bigdatanews.com/profiles/blogs/how-to-gain-business-insight-from-company-data:like 0,view 1554, facebook 0
http://www.bigdatanews.com/profiles/blogs/big-data-explained-in-less-than-2-minutes-to-absolutely-anyone:like 0,view 1348, facebook 0
http://www.bigdatanews.com/profiles/blogs/big-data-a-promised-land-where-the-big-bucks-grow:like 0,view 317, facebook 0
http://www.bigdatanews.com/profiles/blogs/when-big-data-speaks-poem:like 0,view 342, facebook 0
http://www.bigdatanews.com/profiles/blogs/38-seminal-articles-every-data-scientist-should-read:like 0,view 4367, facebook 0
http://www.bigdatanews.com/profiles/blogs/contradictions-of-big-data:like 2,view 505, facebook 0
http://www.bigdatanews.com/profiles/blogs/the-data-scientist-elusive-or-illusive:like 0,view 385, facebook 0
http://www.bigdatanews.com/profiles/blogs/procurement-big-picture-v-whole-picture:like 0,view 370, facebook 0
http://www.bigdatanews.com/profiles/blogs/solving-the-data-growth-crisis-with-hadoop:like 2,view 877, facebook 0
http://www.bigdatanews.com/profiles/blogs/don-t-go-back-in-time-infographics:like 0,view 520, facebook 0
http://www.bigdatanews.com/profiles/blogs/making-data-visualization-work:like 1,view 535, facebook 0
http://www.bigdatanews.com/profiles/blogs/delivering-value-with-bizdevops:like 0,view 177, facebook 0
http://www.bigdatanews.com/profiles/blogs/4-ways-big-data-is-transforming-healthcare:like 0,view 474, facebook 0
http://www.bigdatanews.com/profiles/blogs/using-big-data-to-target-in-market-shoppers:like 0,view 367, facebook 0
http://www.bigdatanews.com/profiles/blogs/the-data-science-alphabet:like 0,view 649, facebook 0
http://www.bigdatanews.com/profiles/blogs/spark-turns-five-years-old:like 0,view 202, facebook 0
http://www.bigdatanews.com/profiles/blogs/the-value-of-data-platform-as-a-service-dpaas:like 1,view 1252, facebook 0
http://www.bigdatanews.com/profiles/blogs/data-center-efficiency-analytics:like 0,view 260, facebook 0
http://www.bigdatanews.com/profiles/blogs/13-new-trends-in-big-data-and-data-science:like 0,view 2994, facebook 0
http://www.bigdatanews.com/profiles/blogs/big-data-iot-and-security-oh-my:like 1,view 723, facebook 0
http://www.bigdatanews.com/profiles/blogs/trends-in-big-data-vs-hadoop-vs-business-intelligence:like 0,view 585, facebook 0
http://www.bigdatanews.com/profiles/blogs/predictive-case-based-reasoning:like 0,view 1172, facebook 0
http://www.bigdatanews.com/profiles/blogs/three-upcoming-dsc-webinars:like 0,view 167, facebook 0
http://www.bigdatanews.com/profiles/blogs/performance-analytics-in-cloud-platforms:like 0,view 335, facebook 0
http://www.bigdatanews.com/profiles/blogs/big-data-cloud-security-challenges-per-the-white-house:like 0,view 529, facebook 0
http://www.bigdatanews.com/profiles/blogs/automated-tiering-improves-storage-roi:like 0,view 146, facebook 0
http://www.bigdatanews.com/profiles/blogs/4-great-tips-cloud-security-for-big-data:like 0,view 1242, facebook 0
